id	build_tool	source_path	classification
tshepo-keys-service	maven	services/tshepo-keys-service	required_full_boot
tshepo-offline-service	maven	services/tshepo-offline-service	optional_full_boot
tuso-service	maven	services/tuso-service	required_full_boot
ubomi-service	maven	services/ubomi-service	required_full_boot
varapi-service	maven	services/varapi-service	required_full_boot
vito-service	maven	services/vito-service	required_full_boot
wellness-service	maven	services/wellness-service	optional_full_boot
workflow-service	maven	services/workflow-service	optional_full_boot
workforce-governance-service	maven	services/workforce-governance-service	optional_full_boot
zibo-service	maven	services/zibo-service	required_full_boot
zibo-web	npm	ui/zibo-web	optional_full_boot
